sentiment,text
0,good morning everyone!! what a morning! running a lot because i forgot the things i need to do.... i need a break right now to relax
0,shopping for a new camera since i broke mine
0,"almost 1 am, still not asleep yet although i have to wake up at 6 tmr"
0,i'm really starting to hate traveling east - i need more sleep
0,worried about the next step
0,i'm back! how's the marsiscoming assault going? i see we dropped off the trending topics again.
0,not ready to be out in 100 degree weather weekend went by wayyyy to quick
0,home and sms job hunting! sigh....most marketing positions are frozen!
1,@MENTION lol u kno me too well
0,"thanks to my state of mind last night and marisa, i still smell like a parfume bath"
0,"why can't i breathe?! yes, an over-exaggeration in terms, but still. i hate being ill."
1,@MENTION is asking for prayer. wow !
0,last day in gibraltar the sun is shining making the most of it... more relaxing probably!
1,is updating her blog in livejournal wow! )
1,a member
0,@MENTION i'm so sorry. my thoughts are with your family.
0,"@MENTION indeed it is, which carrier are you with? optus is charging for it"
1,finally got a domain set up with wordpress. tonights going to be making the site
1,idiotat)phierce and much th*nks for the follow friday definition. (pishka) idiot
1,at cousins house
1,yay! i can't wait for the time traveler's wife movie.
1,@MENTION million congratulations for making sense when almost nothing does
1,@MENTION lucky you have a nice time 0
0,not having a very good day my mind is definitely not where it needs to be
0,@MENTION they never work they just change the mood i wake up in- generally very grumpy and its tantrum galore lol
1,@MENTION haha good phone conversation cat lady! you're gonna be homeless too you didn't tell me u were having coffee!! coming tomorrow?
1,morning good people! what's happening? in the dmv area it's cloudy and somber looking but i plan wake up sometime today & shine
1,@MENTION oh i am sure the mask put your passengers at ease or is it the lil bottles of liquid happiness?
1,"@MENTION good luck! i hope you & pack rock the joint sister, don't be mad..."
1,@MENTION it looks like every1's a okay tonight ! my tweeps are drama free
0,@MENTION absolutely nothing.
1,lalala got my yearbook today going to north park to hang with bobby and taylor txt me
1,watchin nadal v soderling again! kinda a good match but why did nadal have 2 lose writing a comment on the mclaren forum
1,morning lotsa cleaning to do today! and looking after my brother. aparently hes sick....but he looks fine to me!! lol
1,@MENTION good mami..shopping. got a wedding to go to tomorrow ..need an outfit
0,"after a though sandwiches and chinese fast food, i'm still soooo hungry it's unbelievable!"
1,"@MENTION good morning! i'm doing ok, fibro acting up but got lots 2 do. will just have 2 keep takin meds 2 get thru it.. so it's ok."
0,@MENTION that's too bad about not being able to take births.
0,looks like amazon is the cheapest so far. that seems wrong
1,i love how people have a way to cheer you up ! ..
1,"@MENTION for sure, keep up the great tweets"
1,but on the real im out . . peace yall
0,"@MENTION dude, yesterday was gorgeous, we were out all day walking; today - overcast and rain fuck"
1,17 again was funny
1,@MENTION get 100 followers a day using once you add everyone you are on the train or pay vip
0,ôøωs wishing it was nightime+ that she war makn her way to herbal
0,@MENTION.. money. i want extra work. iloveyoutoo. can you think of any sites that might help?x
1,listening to 'when i see you' by fantasia he's always on my mind
0,"and oh, mum and i are having a terrible stomachache. both are heading to sleep. my pinggang feels like want to putus. very painful lor!"
0,at the hospital with my daughter
0,grill & chill postponed to next saturday badweather
0,"@MENTION veet burns. i can't use it anymore, i was so itchy last time"
0,home early.. how boring
0,"i have crap to do, but i think i'll just go to bed. my sister, dad, brother and nephew are coming tomorrow! which means cleaning, blegh."
0,@MENTION what is belmont stakes? & i feel sick from going out on thurs still lol we still doing something on monday?
0,@MENTION wish i was tonight but on the couch with sprained ankle
0,@MENTION yep your my fave...and stop calling me a liar
0,how can it be that i have 3 followers_me and can only see 2???!!! don't like that!
0,"@MENTION no, i'm afraid."
0,1 friend left on the wall take her down pass her around no more friends on the wall. this is what it feels like with out any friends oyea
0,"@MENTION on the refresh after i ""clear all"" on the stocktwits columns all posts reappear in 0.25.2. ever after multiple restarts"
0,running behind schedule as usual!!! i should be doing all this on skates but think of the casualties i could create i'll be back....
0,"working on art. god, dammit, i hate mr cho's insanely boring assignments. hate them. i'm so far behind now too"
1,@MENTION hahahaha. i heard.
0,watchin a scary movie.... ...not fun at all...lol...mayby i should find somethin else to do....yup yup...
0,@MENTION i am on the regime everyday bc i haven't had access to much quality cannabis lately. nothing even close to medical quality.
1,getting miley tickets 2m.. hope we can get them x
0,"anyone know who brit's support act is for tonight, ticketmaster say ciara is going home and not performing"
0,toughcustomersi'm so nervous for @MENTION you are brave! my thoughts are with you
1,a very happy ôøωeat with your family dayôøω to all my dear friends!
0,@MENTION
0,@MENTION i can trust in you truth? is that truly i am very badly
1,@MENTION nice let them see the nice pic of you before the trash tomorrow ;-)
1,i will watch t.v. muna.
0,went to lone elk park and the bird sanctuary with olivia and nolan. the bisen wern't around
0,"is getting abuse over texts from nicola! it's not fair, i'm only helping her with english!"
1,youhou jsui en premiere page sur blogasty
1,bummed out becuase my twin boys championship baseball game just got cancelled due to wet field. stinkin stinks.
1,@MENTION you're very welcome
1,shower time...
1,first saturday night i'm staying home in a looong time. watching larry king talk about susan boyle in my pijamas. ;)
1,@MENTION there it is lonne! *points*
1,@MENTION im surprised you didnt go lol jk
0,getting owned at super mario kart by my niece
1,@MENTION i'm in post traumatic stress and shan't ever recover but playing hide and seek made it worthwhile
1,"plumber on his way, nightmare nearly over"
1,happily home in my comfy bed
1,beyonce's music is amazinggg <3 love her. ugh. im so tired. about to go to bed. hope everyone has a good day tomorrow. night sillys!
0,i feel like removing my whole reproductive system for a week.... woman hood is killing me right now
0,"home, but i feel like @MONEY$ right now ugh terrible tummy ache"
1,"@MENTION loser, you tweeted this morning! you love it already"
0,@MENTION i just got put down my last drink for the nite! lol but...im soooo goin to chicago 2ma im bored out of my mind here! lol
1,@MENTION if i may suggest:
1,@MENTION congrats! an official ubertwitter! you will be an expert before the weekend is done !
1,@MENTION i used to love quantum leap!
0,"so sick of the rain, ruined my camping plans"
0,"no matter how hard i try, i can not find out how to use twitpic from my phone. can anyone help me??"
0,missing everyone <3 xoxo
1,relaxing..
0,these fuckers want more! i just made 4 more burgers and a grilled cheese. hippies
0,"job interview on thursday, finally! but dentist today"
1,the effects of having a cup of starbucks after 2 weeks not having any. glorifying god in the night and morning. thanks! 5am!
1,@MENTION its just the respect that needs to be given to them when one calls them holy scriptures
1,@MENTION they'd like ellies or maybe pictures of the fave fhings of ellies? peanuts etc
1,"@MENTION the actual reception was today, the dinner was last night, i call shenanigans but it could have been worse"
1,i was trying to go to sleep since i got none last night. but i will be there hopefully with my dress
1,"demi lovato's new album!!!..... ""here we go again"" ... in stores on july 21"
1,is going camping @ fall creek falls for the weekend!
0,@MENTION - nooo! why!?! connor and abby haven't confessed their love yet!! and there is that really annoying cliffhanger to solve!
1,"my feet hurt! almost done cleaning, damn these surprise guests. so needs to get done anyway."
1,@MENTION woot! see you there
0,@MENTION (i have no advice)
1,@MENTION we will agree to disagree
0,"there was a mosquito in my room this night. it kept waking me up. i got tired of it and said ""bite me!""... so it did"
0,is feeling crap i hate flu
1,"hey, what is the best twitter client?"
1,yay!!! i'm seeing 713 on the billboards!!! i could do a backflip.
0,@MENTION i am ashamed to say that i have yet to read it/see the movie.
0,@MENTION your face is gone again
1,@MENTION @MENTION i think i could keep it on all day and stay entertained. maybe there's a beyond belief drinking game...?
1,@MENTION david! philippines and eat bulaga are on the trending topics because of you!!! wow!
1,"@MENTION hey, did @MENTION's song pass already?! i'm listening to nkairplay now!"
1,"@MENTION cmon, it's a joke."
1,@MENTION - haha i saw him when you were signing in greensboro! he is adorable!
1,"@MENTION i'm assuming u are asking me no, i've got a meeting tonight. besides, i'd be too nervous."
0,i didn't win the powerball
0,@MENTION i want to be teresa too
1,i just saw that jay brannan is coming to austin this summer! excited!... thank you random tour searching at 3 am.
1,"i need advice on a website that would be good for me to put video's on, to share. any advice appreciated."
1,@MENTION oh welcome to the mac world
0,@MENTION i dunno just feel really crap
0,good morning .. it's still dark .. awesome way to start your day
1,yay weekend! napping on the deck
0,"i'm cold, i packed all my jackets, even my blazer (i didn't wanna accidentally ruin it). i wish the bus would get here. dammit pittsburgh"
0,hung over at work
1,@MENTION so many things i could say about this...probably best to say nothing at all. lol
1,@MENTION hi rad! everything ok?
1,"beautiful sunday!! brunch, relaxing, and resting!!!!"
0,i hate snow...why did it have to come back??!! :@ seeing monsters vs. aliens tonight with @MENTION
0,@MENTION its a gay and never works
1,@MENTION thank you so much! you are so sweet
0,my computer crashed
0,cant believe @MENTION is leaving today ill miss him so muchhh
1,@MENTION nah i'll be up at 9
0,"hot wheels dropped the ball by turning the nsx into a tuner special last year, but this year's stock gt-r really takes the cake."
0,oh how about im home for a total of three days in july?!
1,"is very cold, i can tell winter is on its way :l oh well it just means lots of cups of tea and hot chocolate"
0,"yay, class is ovah! i still haven't had any breakfast and my arm hurts"
1,@MENTION great reflection. thanks
1,@MENTION that sounds good to me . girl trippp
1,"@MENTION oh i see. thanks for replying. anyway, how are you?"
0,time to shower & head out to work lol
1,@MENTION not much..just hanging out..tweetin with my tweeties
0,@MENTION defo - my red wine empty pimms good replacement.
0,my sister just left. she's going back to austria
0,@MENTION bad news. kotcs was horrible
0,@MENTION my computer here won't display them...
0,@MENTION that's nothing! i guess you're permanently hungry? sounds a bit rubbish to me have a burger! lol!! bbq weather here today!
1,ashalalee i love you too. but i dont know why it takes so long... because your being soo creative? <^-^>
0,cleaning up my bedroom
1,@MENTION my mum met them for me and zack merrick has a really cute signature
0,"@MENTION aww, get well soon! you dont want to be ill for the tour! x"
0,eating bad for me foods at texas roadhouse.
1,people get ont twitter...................to late going to facebook
0,@MENTION you'll see
1,exploring. adventuring. up to nooo good.
1,just had the best day at jackdarling / lakeshore wtih peterrrrrr nasssiffff
1,@MENTION thanks!
0,4 more minutes to stay in bed for a little
0,@MENTION twatter ate them
1,@MENTION i got the 1st answer after googling fir bore ho gayi sorry! lol @ guess by @MENTION
0,is feeling lazy and doesnt wanna do anything...
0,just went to the eye doctor. it makes reading my blackberry impossible!
1,@MENTION hey dad! k.o.! haha. good morning! have a safe and nice day. >> john
0,"@MENTION sorry you got clocked fool! if i could've done something to save you i wouldve, but im weak"
0,working on the weekend!
1,had an amazing time perfrorming at the cystic fibrosis breathing life awards!
1,@MENTION you....are.....awesome. haha. do you have a say now number? so i can leave a fan message..haha. you are like my inspiration!
0,i have the most painful blister on my heel thanks to my sandals. stupid shoes. ended up walking home barefoot it hurt that much!
0,"@MENTION oh kewl, what are you gonna go see? ive been wanting so bad to see star trek or some new bollywood movie but im broken"
0,@MENTION i agree. no fun.
1,recaping moments.
0,just got a call from kim & she's sick so that's reason 2 i can't go disneyland 2day. but next week we're gonna party like rockstars!
0,@MENTION @MENTION sorry to hear about your battles with food feel better to both of you
0,"podcast in uploading process, taking forever"
0,"@MENTION i swear that's a complete stranger and yes, out of no where .. no idea hw yr tweets r tat powerful .. lol"
1,@MENTION haha definatly where did you go last time?
0,i can't wait until my day off this week
0,i'm so tired. it's 4.50am and my kitty woke me up by bringing a mouse in. now it's dying in my room and i don't know what to do.
0,this heartburn is killing me! & my hubby keeps forgetting to buy me tums!
1,at ashley's art show with freckles
0,i miss my baby
0,@MENTION i know the feeing
1,@MENTION not really but i do love beethoven
0,i watched up! this time i cried it's really sad and hilarious ... that movie totally rocks!
1,i'm so glad i get to sleep in late tomorrow
0,"no, it's not true! ... gonna have to wait 'til after work to get 3.0 now"
1,@MENTION hey fav mister
0,i don't wanna sleep alone someone spend the night.
1,@MENTION hope you enjoyed your meal. so sorry some people wouldn't leave you be. glad i could be of service = napkin.
1,i literally can't get this song out of head at the moment
0,"@MENTION oh gosh, that is awful. i know plent of atheists who are as moral if not more so than many christians i know."
1,"@MENTION can i get a little hello ? ...would make me smile , oh i am creeping ,well just for you i do"
0,"has had too much to deal with lately, there comes a point when your body says ""can't"" no matter how hard you try otherwise! miss home"
1,"goodnight tweets!!!!! sweet dreams, don't forget to plan something nice for someone who doesn't expect it tomorrow"
0,@MENTION exactly my thought. </3
1,@MENTION yes please!!!
0,@MENTION sorry to hear it tomorrow is always a new day right?
